movieId,title,genres,IMDb Rating,Year
1,Toy Story ,Adventure,4,2008
2,Jumanji ,Adventure,0,2020
3,Grumpier Old Men ,Comedy,2,1985
4,Waiting to Exhale ,Comedy,9,2020
5,Father of the Bride Part II ,Comedy,0,2009
6,Heat ,Action,10,1981
7,Sabrina ,Comedy,8,1984
8,Tom and Huck ,Adventure,10,2010
9,Sudden Death ,Action,10,2018
10,GoldenEye ,Action,1,2012
11,American President  The ,Comedy,4,1982
12,Dracula: Dead and Loving It ,Comedy,1,2004
13,Balto ,Adventure,0,1981
14,Nixon ,Drama,6,2000
15,Cutthroat Island ,Action,0,1998
16,Casino ,Crime,5,2005
17,Sense and Sensibility ,Drama,3,1985
18,Four Rooms ,Comedy,0,1981
19,Ace Ventura: When Nature Calls ,Comedy,5,1980
20,Money Train ,Action,3,2014
21,Get Shorty ,Comedy,8,1984
22,Copycat ,Crime,7,1994
23,Assassins ,Action,7,2009
24,Powder ,Drama,3,1981
25,Leaving Las Vegas ,Drama,2,1980
26,Othello ,Drama,0,2007
27,Now and Then ,Children,3,1985
28,Persuasion ,Drama,7,1991
29,City of Lost Children  The  ,Adventure,8,1980
30,Shanghai Triad  ,Crime,8,2008
31,Dangerous Minds ,Drama,3,1982
32,Twelve Monkeys  ,Mystery,1,2004
34,Babe ,Children,7,2017
36,Dead Man Walking ,Crime,9,2018
38,It Takes Two ,Children,0,1999
39,Clueless ,Comedy,8,1991
40,Cry  the Beloved Country ,Drama,9,1991
41,Richard III ,Drama,5,2017
42,Dead Presidents ,Action,5,1988
43,Restoration ,Drama,9,1994
44,Mortal Kombat ,Action,4,1988
45,To Die For ,Comedy,3,2009
46,How to Make an American Quilt ,Drama,2,1992
47,Seven  ,Mystery,0,2012
48,Pocahontas ,Animation,2,2014
49,When Night Is Falling ,Drama,6,1989
50,Usual Suspects  The ,Crime,7,1986
52,Mighty Aphrodite ,Comedy,3,1986
53,Lamerica ,Adventure,6,2013
54,Big Green  The ,Children,6,2006
55,Georgia ,Drama,10,2001
57,Home for the Holidays ,Drama,8,1985
58,Postman  The  ,Comedy,0,1997
60,Indian in the Cupboard  The ,Adventure,1,2013
61,Eye for an Eye ,Drama,0,1982
62,Mr. Holland's Opus ,Drama,1,2017
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood ,Comedy,1,2016
64,Two if by Sea ,Comedy,8,2011
65,Bio-Dome ,Comedy,8,1994
66,Lawnmower Man 2: Beyond Cyberspace ,Action,6,1995
68,French Twist  ,Comedy,4,2012
69,Friday ,Comedy,4,1993
70,From Dusk Till Dawn ,Action,1,2004
71,Fair Game ,Action,2,1991
72,Kicking and Screaming ,Comedy,10,1997
73,Misérables  Les ,Drama,5,2019
74,Bed of Roses ,Drama,9,1998
75,Big Bully ,Comedy,0,2016
76,Screamers ,Action,7,1989
77,Nico Icon ,Documentary,4,1994
78,Crossing Guard  The ,Action,1,2006
79,Juror  The ,Drama,0,2011
80,White Balloon  The  ,Children,10,2005
81,Things to Do in Denver When You're Dead ,Crime,5,1993
82,Antonia's Line  ,Comedy,7,2000
83,Once Upon a Time... When We Were Colored ,Drama,6,2013
85,Angels and Insects ,Drama,3,1996
86,White Squall ,Action,3,1997
87,Dunston Checks In ,Children,1,2014
88,Black Sheep ,Comedy,9,2014
89,Nick of Time ,Action,1,1984
92,Mary Reilly ,Drama,8,1987
93,Vampire in Brooklyn ,Comedy,1,2007
94,Beautiful Girls ,Comedy,7,2015
95,Broken Arrow ,Action,8,2001
96,In the Bleak Midwinter ,Comedy,5,2020
97,Hate  ,Crime,4,2009
99,Heidi Fleiss: Hollywood Madam ,Documentary,4,2018
100,City Hall ,Drama,4,1981
101,Bottle Rocket ,Adventure,9,2015
102,Mr. Wrong ,Comedy,4,1982
103,Unforgettable ,Mystery,2,2015
104,Happy Gilmore ,Comedy,9,2013
105,Bridges of Madison County  The ,Drama,2,1997
106,Nobody Loves Me  ,Comedy,6,2003
107,Muppet Treasure Island ,Adventure,4,2002
108,Catwalk ,Documentary,5,2010
110,Braveheart ,Action,7,2015
111,Taxi Driver ,Crime,5,2011
112,Rumble in the Bronx  ,Action,6,1982
113,Before and After ,Drama,1,2012
116,Anne Frank Remembered ,Documentary,1,1981
117,Young Poisoner's Handbook  The ,Crime,3,1997
118,If Lucy Fell ,Comedy,9,1982
119,Steal Big  Steal Little ,Comedy,1,2012
121,Boys of St. Vincent  The ,Drama,10,2018
122,Boomerang ,Comedy,2,2020
123,Chungking Express  ,Drama,6,2007
125,Flirting With Disaster ,Comedy,8,2016
126,NeverEnding Story III  The ,Adventure,6,1996
128,Jupiter's Wife ,Documentary,8,2002
129,Pie in the Sky ,Comedy,0,2014
132,Jade ,Thriller,10,1990
135,Down Periscope ,Comedy,6,1994
137,Man of the Year ,Documentary,4,1994
140,Up Close and Personal ,Drama,0,2011
141,Birdcage  The ,Comedy,9,2004
144,Brothers McMullen  The ,Comedy,6,2005
145,Bad Boys ,Action,4,1981
146,Amazing Panda Adventure  The ,Adventure,6,2005
147,Basketball Diaries  The ,Drama,5,2011
148,Awfully Big Adventure  An ,Drama,10,2012
149,Amateur ,Crime,3,2006
150,Apollo 13 ,Adventure,3,2016
151,Rob Roy ,Action,2,1983
152,Addiction  The ,Drama,8,2008
153,Batman Forever ,Action,8,2003
154,Beauty of the Day  ,Drama,1,1995
155,Beyond Rangoon ,Adventure,4,1993
156,Blue in the Face ,Comedy,0,2005
157,Canadian Bacon ,Comedy,1,2002
158,Casper ,Adventure,7,2000
159,Clockers ,Crime,2,2018
160,Congo ,Action,2,1992
161,Crimson Tide ,Drama,9,2017
162,Crumb ,Documentary,6,1989
163,Desperado ,Action,1,1986
164,Devil in a Blue Dress ,Crime,6,1983
165,Die Hard: With a Vengeance ,Action,5,2004
166,Doom Generation  The ,Comedy,10,2013
168,First Knight ,Action,7,2010
169,Free Willy 2: The Adventure Home ,Adventure,7,1990
170,Hackers ,Action,6,2015
171,Jeffrey ,Comedy,9,2011
172,Johnny Mnemonic ,Action,3,2009
173,Judge Dredd ,Action,1,2005
174,Jury Duty ,Comedy,10,1980
175,Kids ,Drama,6,2000
176,Living in Oblivion ,Comedy,1,1987
177,Lord of Illusions ,Horror,2,2015
178,Love & Human Remains ,Comedy,1,1984
179,Mad Love ,Drama,4,1980
180,Mallrats ,Comedy,10,2019
181,Mighty Morphin Power Rangers: The Movie ,Action,1,2010
183,Mute Witness ,Comedy,4,1997
184,Nadja ,Drama,0,2018
185,Net  The ,Action,10,2006
186,Nine Months ,Comedy,8,2017
187,Party Girl ,Comedy,10,1994
188,Prophecy  The ,Fantasy,2,2015
189,Reckless ,Comedy,0,1987
190,Safe ,Thriller,3,1996
191,Scarlet Letter  The ,Drama,2,2015
193,Showgirls ,Drama,1,2012
194,Smoke ,Comedy,8,1981
195,Something to Talk About ,Comedy,8,2000
196,Species ,Horror,4,2020
198,Strange Days ,Action,9,1991
199,Umbrellas of Cherbourg  The  ,Drama,9,1995
201,Three Wishes ,Drama,1,1986
202,Total Eclipse ,Drama,5,1981
203,To Wong Foo  Thanks for Everything! Julie Newmar ,Comedy,3,1996
204,Under Siege 2: Dark Territory ,Action,7,1995
205,Unstrung Heroes ,Comedy,7,2010
206,Unzipped ,Documentary,9,2008
207,Walk in the Clouds  A ,Drama,8,1989
208,Waterworld ,Action,4,2001
209,White Man's Burden ,Drama,3,2000
210,Wild Bill ,Western,8,1981
211,Browning Version  The ,Drama,8,1997
212,Bushwhacked ,Adventure,1,1995
213,Burnt by the Sun  ,Drama,1,2004
214,Before the Rain  ,Drama,10,1995
215,Before Sunrise ,Drama,4,1997
216,Billy Madison ,Comedy,0,2004
217,Babysitter  The ,Drama,6,2007
218,Boys on the Side ,Comedy,8,1995
219,Cure  The ,Drama,4,2001
220,Castle Freak ,Horror,10,2000
222,Circle of Friends ,Drama,3,2000
223,Clerks ,Comedy,8,1997
224,Don Juan DeMarco ,Comedy,6,1998
225,Disclosure ,Drama,8,1992
227,Drop Zone ,Action,1,2009
228,Destiny Turns on the Radio ,Comedy,8,1981
229,Death and the Maiden ,Drama,9,2016
230,Dolores Claiborne ,Drama,3,1998
231,Dumb & Dumber  ,Adventure,9,1983
232,Eat Drink Man Woman  ,Comedy,2,2007
233,Exotica ,Drama,8,1989
234,Exit to Eden ,Comedy,10,1997
235,Ed Wood ,Comedy,0,2006
236,French Kiss ,Action,8,1990
237,Forget Paris ,Comedy,6,2020
238,Far From Home: The Adventures of Yellow Dog ,Adventure,1,1994
239,Goofy Movie  A ,Animation,9,1982
240,Hideaway ,Thriller,6,1987
241,Fluke ,Children,3,2002
242,Farinelli: il castrato ,Drama,2,1985
243,Gordy ,Children,1,1990
246,Hoop Dreams ,Documentary,2,2005
247,Heavenly Creatures ,Crime,1,1992
248,Houseguest ,Comedy,3,2006
249,Immortal Beloved ,Drama,8,2009
250,Heavyweights  ,Children,7,2010
251,Hunted  The ,Action,9,1991
252,I.Q. ,Comedy,5,1989
253,Interview with the Vampire: The Vampire Chronicles ,Drama,7,2004
254,Jefferson in Paris ,Drama,2,1980
255,Jerky Boys  The ,Comedy,1,2015
256,Junior ,Comedy,5,1983
257,Just Cause ,Mystery,5,2017
258,Kid in King Arthur's Court  A ,Adventure,9,1981
259,Kiss of Death ,Crime,3,1990
